FID,District,Upazila,Union,Settlement,Camp Name,Inter Sector Coordination Group Camp Name,Unique ID,Facility Code,Facility,Geographical Coordinates,Source of Funding,Implementing Partner,Landslide,Flood,Landslide Risk,Flood Risk,Risk of both,Risk of either
736.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 10,CXB-214,C10_MQ_36,MQ,Mosque,"(21.1896331999999,  92.1525888999999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
737.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 10,CXB-214,C10_MQ_37,MQ,Mosque,"(21.1919569999999,  92.1542110999999)",Private Donation,**,-1.0,-1.0,Yes,Yes,Yes,Yes
738.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_9,MQ,Mosque,"(21.1827831,  92.143697)",Private Donation,**,-1.0,-1.0,Yes,Yes,Yes,Yes
739.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_FO_1,FO,Field Office,"(21.1851084999999,  92.1415810999999)",Non-governmental Organization (United Nations),IOM,**,-1.0,No,Yes,No,Yes
740.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_10,MQ,Mosque,"(21.1802947099999,  92.1473761599999)",Non-governmental Organization (United Nations),ADOF,**,-1.0,No,Yes,No,Yes
741.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_11,MQ,Mosque,"(21.1785928699999,  92.1477129)",Private Donation,**,**,**,No,No,No,No
742.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_12,MQ,Mosque,"(21.1796417,  92.1471667)",Private Donation,**,**,-1.0,No,Yes,No,Yes
743.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MD_2,MD,Madrassah,"(21.1827519,  92.1443686)",Private Donation,**,**,-1.0,No,Yes,No,Yes
744.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_13,MQ,Mosque,"(21.1826794999999,  92.1444163999999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
745.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_14,MQ,Mosque,"(21.18201153,  92.1461409399999)",Private Donation,**,**,**,No,No,No,No
746.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MD_3,MD,Madrassah,"(21.1820054199999,  92.1416581299999)",Private Donation,**,**,**,No,No,No,No
747.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_15,MQ,Mosque,"(21.1820708499999,  92.1456049699999)",Private Donation,**,**,**,No,No,No,No
748.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_16,MQ,Mosque,"(21.18118438,  92.14363604)",Local Government,**,**,**,No,No,No,No
749.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_CF_2,CF,Child Friendly Space,"(21.18160224,  92.1423042299999)",Non-governmental Organization (United Nations),SaveTheChildren Unicef,-1.0,**,Yes,No,No,Yes
